rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Inpatient Revenue,Outpatient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
717629,344028,STRATEGIC BEHAVIORAL CENTER - GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529-7727,,,NA,PH,4,1,2022-01-01,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717969,180078,PAUL B. HALL REGIONAL MEDICAL CENTER,PAUL B. HALL REGIONAL MEDICAL CENTE,PAINTSVILLE,KY,41240,JOHNSON,99918,R,STH,1,4,2021-10-01,2021-11-30,30.38,72,4392,57070,,57070,245905,2268571,3279490,270777,5049463,26100235,41571321,67671556,1001920,2268571,60247,26100235,41571321,61489025,6182531,5548061,634470,2151392,2785862,15,2785847,0.074617
719460,520210,MARSHFIELD MEDICAL CENTER-EAU CLAIRE,2116 CRAIG ROAD,EAU CLAIRE,WI,54701,,20740,U,STH,1,2,2021-10-01,2021-12-31,792.25,44,5152,1273341,2235460,2248020,2248020,21886304,41272817,6006682,50933990,28118018,84714916,112832934,2790927,21886304,1125947,33588992,121909770,94363079,61135683,65395344,-4259661,845990,-3413671,151877,-3565548,0.451411
719475,63037,COBALT REHAB HOSP WESTMINSTER,6500 WEST 104TH AVE,WESTMINSTER,CO,80020,,79740,U,RH,5,4,2021-10-08,2021-12-31,22.8,40,3400,,,,,974985,1676967,44979,1604587,1716579,,1716579,,,,1716578,,1044972,671606,2651952,-1980346,,-1980346,,-1980346,
721379,340123,AMERICAN HEALTHCARE SYSTEMS,373 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,-27204,RANDOLPH,24660,U,STH,1,2,2021-10-01,2021-12-31,173.01,145,13340,1654222,3738257,2258671,2258671,10586248,19154646,257154,29100930,76289661,104740148,181029809,3604240,10586248,871479,76292307,104753570,156553732,24492145,29740894,-5248749,-6661015,-11909764,,-11909764,0.160752
721615,294016,DESERT WINDS HOSPITAL,5900 W ROCHELLE AVE,LAS VEGAS,NV,89103-3304,,,NA,PH,5,3,2021-11-30,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722316,341307,PENDER MEMORIAL HOSPITAL,507 E. FREMONT ST,BURGAW,NC,-28425,PENDER,48900,U,CAH,1,9,2021-10-01,2021-12-31,29.88,25,2300,402814,1172059,767318,767318,2336443,9470427,76412,7768055,2704567,22345452,25050019,,,,2699645,22583156,18046625,7236176,11840025,-4603849,5052864,449015,-33155,482170,0.310102
722751,524042,MIRAMONT BEHAVIORAL HEALTH,3169 DEMING WAY,MIDDLETON,WI,53562-1435,,,NA,PH,4,3,2021-11-22,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724025,360081,ST. CHARLES HOSPITAL,2600 NAVARRE AVENUE,OREGON,OH,43616,LUCAS,45780,U,STH,1,1,2022-01-01,2022-02-28,589.48,125,7375,1463917,1472943,1726624,1726624,8425809,19009052,299382,24970641,81267215,67222495,148489710,1998330,8425809,1761307,81229215,67190195,123460216,24959194,27434861,-2475667,2259077,-216590,,-216590,0.168164
724351,360262,MERCY ST. ANNE HOSPITAL,3404 W. SYLVANIA AVE,TOLEDO,OH,43623,LUCAS,45780,U,STH,1,1,2022-01-01,2022-02-28,509.79,128,7552,1145619,1854013,1390720,2353465,6661231,16229853,254017,20846962,81967733,83158027,165125760,1676098,6661231,956013,81967732,83160078,141700451,23427359,22891084,536275,695574,1231849,,1231849,0.126249
724417,113035,REHABILITATION HOSPITAL OF HENRY,2200 PATRICK HENRY PARKWAY,MCDONOUGH,GA,30253,HENRY,12060,U,RH,5,4,2021-11-17,2022-02-28,105.43,50,5200,,,,,2224423,1826952,510456,4396285,5333461,,5333461,290108,2224423,,5333462,,2196297,3137165,4051375,-914210,6834,-907376,,-907376,
725037,430083,PHS HOSPITAL - EAGLE BUTTE,24276 166TH STREET,EAGLE BUTTE,SD,57625,DEWEY,99943,R,STH,1,7,2021-10-01,2021-11-23,334,8,432,,,,,2889184,6827012,467368,4594670,1674,154600,156274,1,2889184,,,,,,9716196,-9716196,,-9716196,,-9716196,
725412,140058,JACKSONVILLE MEMORIAL HOSPITAL,1600 WEST WALNUT,JACKSONVILLE,IL,62650,MORGAN,99914,R,STH,1,2,2021-10-01,2022-04-25,576.48,106,21942,944039,2710336,1645683,10252263,22295358,43161718,3566555,58046992,70948351,174023584,244971935,6764102,22295358,6187649,70960711,176958581,186767101,61152191,65457076,-4304885,15856176,11551291,17988855,-6437564,0.236954
726030,33043,REUNION REHABILITATION HOSPITAL PHOE,1675 E. VILLA STREET,PHOENIX,AZ,85006,MARICOPA,38060,U,RH,5,6,2022-02-03,2022-03-31,84.5,48,2736,,,,,1097317,805230,76596,1801441,2175671,,2175671,,1097317,,2175671,,1063280,1112391,1902547,-790156,683,-789473,,-789473,
726763,403025,ENCOMPASS HEALTH REHABILITATION HOSP,3RD FL  UNIV HOSPITAL  MEDICAL CENT,SAN JUAN,PR,00936-8344,SAN JUAN,41980,U,RH,5,4,2022-01-01,2022-05-31,112.53,33,4983,,,,,1999443,2481102,176219,4236270,9756798,1248567,11005365,398428,1999443,,9824213,1248567,5094692,5978088,4480545,1497543,13,1497556,,1497556,
730294,320058,MESCALERO INDIAN HOSPITAL,301 SAGE AVENUE,MESCALERO,NM,88340,OTERO,99932,R,STH,1,7,2021-10-01,2022-02-01,102,6,744,,,,,2484796,4438964,69434,3927380,,30000,30000,2,2484796,,,,,,6923760,-6923760,,-6923760,,-6923760,
730295,320070,ACOMA CANONCITO LAGUNA HOSPITAL,130,SAN FIDEL,NM,87049,CIBOLA,99932,R,STH,1,7,2021-10-01,2022-02-15,148,6,828,,,,,3247739,8752616,469733,7884478,36,67573,67609,1,3247739,,,,,,12000355,-12000355,,-12000355,,-12000355,
730319,713029,SHREVEPORT REHABILITATION HOSPITAL,1451 FERN CIRCLE,SHREVEPORT,LA,71105,CADDO PARISH,43340,U,RH,5,6,2022-02-18,2022-03-31,100.3,40,1680,,,,,960193,1316618,56806,2186649,1841062,,1841062,,960193,,1841062,,1454478,386584,2276811,-1890227,1070,-1889157,,-1889157,
730531,60044,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN STREET,FORT MORGAN,CO,80701,MORGAN,99906,R,STH,1,4,2021-11-01,2022-04-30,87.57,36,6516,131058,1469260,447064,1311824,8222618,12867132,1066367,12233297,18426375,38935073,57361448,1336023,8222618,875015,18426375,43714267,41733302,20407340,21163408,-756068,1033164,277096,,277096,0.213267
730689,30137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,PIMA,46060,U,STH,1,4,2022-01-01,2022-06-29,185.66,49,8820,,316749,129678,129678,9044782,17927901,1583746,19682756,14481603,33595112,48076715,1353551,9044782,943013,14481603,33595112,40483224,7593491,26972683,-19379192,5121943,-14257249,,-14257249,0.409403
730690,33034,YUMA REHABILITATION HOSPITAL  AN AFF,901 WEST 24TH STREET,YUMA,AZ,85364,YUMA,49740,U,RH,5,5,2022-01-01,2022-07-31,105.62,51,10812,,,,,4490340,4737091,386030,8642876,16735923,1122,16737045,632468,4490340,699224,16735923,1122,4792660,11944385,9227431,2716954,33645,2750599,,2750599,
730822,183027,ENCOMPASS HEALTH REHABILITATION HOSP,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KENTON,17140,U,RH,5,4,2022-01-01,2022-07-31,149.4,71,11052,,,,,7458050,6761463,785806,13761620,23657984,2332,23660316,1619028,7458050,496159,23660308,,8269098,15391210,14219513,1171697,1003924,2175621,,2175621,
730862,373303,THE CHILDRENS CENTER  INC,6800 NW 39TH EXPRESSWAY,BETHANY,OK,73008,,,NA,CH,9,2,2021-11-10,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730969,33025,ENCOMPASS HEALTH REHABILITATION HOSP,9630 E. SHEA BLVD.,SCOTTSDALE,AZ,85260,MARICOPA,38060,U,RH,5,4,2022-01-01,2022-07-31,115.7,60,12720,,,,,5397905,6351587,312285,10614854,17958812,,17958812,991220,5397905,838168,17958801,,6672211,11286590,11749492,-462902,151038,-311864,,-311864,
731049,33029,ENCOMPASS HEALTH REHABILITATION HOSP,1921 WEST HOSPITAL DRIVE,TUCSON,AZ,85704,PIMA,46060,U,RH,5,4,2022-01-01,2022-07-31,114.91,60,12720,,,,,5061783,6056179,1441376,9624493,18281741,1023,18282764,607458,5061783,347090,18282754,,214191,18068563,11117962,6950601,159258,7109859,7100789,9070,
731192,453059,ENCOMPASS HEALTH REHABILITATION HOSP,18550 IH 45 SOUTH,SHENANDOAH,TX,77384,MONTGOMERY,26420,U,RH,5,4,2022-01-01,2022-07-31,108.97,84,17808,,,,,4993187,6329145,516377,9337947,13966994,,13966994,753772,4993187,129715,13966985,,3545687,10421298,11322332,-901034,211748,-689286,,-689286,
731194,490045,UVA HEALTH PRINCE WILLIAM MEDICAL,8700 SUDLEY ROAD,MANASSAS,VA,20110,PRINCE WILLIAM,47894,U,STH,1,10,2022-01-01,2022-06-30,702.49,104,18824,825968,9198720,3298873,4583655,36525989,57439880,4618316,88287317,143076155,187371656,330447811,6301607,36380588,3991405,143159286,187470193,234462235,96167244,93965869,2201375,2405491,4606866,,4606866,0.267175
731198,490144,UVA HEALTH HAYMARKET MEDICAL CENTER,15225 HEALTHCOTE BOULEVARD,HAYMARKET,VA,20169,PRINCE WILLIAM,47894,U,STH,1,10,2022-01-01,2022-06-30,234.1,44,7964,171966,2344210,669974,859058,13817087,26782669,2846827,38698051,48647599,136892621,185540220,2577409,13817087,1839788,48659219,136922189,138775644,46805764,40599756,6206008,161322,6367330,,6367330,0.20857
731199,513027,ENCOMPASS HEALTH REHABILITATION HOSP,3 WESTERN HILLS DRIVE,PARKERSBURG,WV,26105,WOOD,37620,U,RH,5,4,2022-01-01,2022-07-31,105.26,40,8480,,,-19575,-19575,4558942,4577837,134013,9199214,16489595,,16489595,1142973,4558942,299469,16489596,,5342345,11147251,9136779,2010472,16632,2027104,,2027104,0.55788
731979,673034,ENCOMPASS HEALTH REHABILITATION HOSP,117 VISION PARK BLVD,SHENANDOAH,TX,77384,MONTGOMERY,26420,U,RH,5,4,2022-01-01,2022-07-31,155.24,60,12720,,,,,7637701,8566089,517490,15109549,28803613,256,28803869,1524001,7637701,399246,28803859,,9531867,19271992,16203790,3068202,46,3068248,,3068248,
732016,110030,PIEDMONT CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,BARTOW,12060,U,STH,1,2,2021-10-01,2022-06-30,659.02,119,32487,10538300,492416,10609182,11597167,35726656,84248305,5316434,108852096,582232823,588572364,1170805187,6648784,35726656,18147625,582831655,588752921,1047666159,123918417,119974961,3943456,2101116,6044572,,6044572,0.092972
732529,240063,HEALTHEAST ST JOSEPHS HOSPITAL,45 WEST 10TH STREET,ST PAUL,MN,55102,RAMSEY,33460,U,STH,1,2,2022-01-01,2022-06-30,284.72,28,5040,543751,175397,634652,8671749,12164765,12214023,29833,23417409,28636900,2063192,30700092,3745853,12164765,451103,28646483,2121992,22284026,8484449,24378788,-15894339,11036060,-4858279,,-4858279,0.76278
732829,50438,HUNTINGTON HOSPITAL,100 WEST CALIFORNIA,PASADENA,CA,91105,LOS ANGELES,31084,R,STH,1,2,2022-01-01,2022-06-30,2937.21,468,84287,6495346,2358911,7077722,32710148,161727432,240095809,11597423,343929970,1444335928,551035060,1995370988,34721138,161727432,29069550,1452776343,547262352,1647465674,352573021,401823241,-49250220,-14790053,-64040273,,-64040273,0.172364
733019,34039,TALAS HARBOR AT BUCKEYE LLC,1407 S 9TH AVE,PHOENIX,AZ,85007-3904,,,NA,PH,2,5,2021-10-21,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733234,180078,PAINTSVILLE ARH HOSPITAL,625 JAMES S. TRIMBLE BOULEVARD,PAINTSVILLE,KY,41240,JOHNSON,99918,R,STH,1,2,2021-12-01,2022-06-30,98.01,47,9964,89606,15556269,2882804,2882804,6707943,13337504,78319,20522059,49923207,64456529,114379736,3238010,6707943,1902681,48568045,65828897,95527985,18868957,20045447,-1176490,-4196992,-5373482,,-5373482,0.17942
734041,230239,MYMICHIGAN MEDICAL CENTER SAULT,500 OSBORNE BOULEVARD,SAULT STE. MARIE,MI,-49783,CHIPPEWA,99923,R,STH,1,2,2022-01-01,2022-06-30,688.39,42,7602,181826,1107336,617744,2777685,28532415,34613953,2463930,49462459,27277303,93816568,121093871,5288316,28375221,1095904,27494339,116272759,84150055,59617043,63146368,-3529325,1267857,-2261468,,-2261468,0.408464
734053,240059,REGINA HOSPITAL,1175  NININGER ROAD,HASTINGS,MN,-55033,DAKOTA,33460,U,STH,1,2,2022-01-01,2022-07-31,208.23,22,4664,346857,1154992,787722,1013722,11808341,27732732,1764894,33580282,20923893,66825314,87749207,2442007,11970920,4105985,22211740,67374905,55683966,33902679,39541073,-5638394,3118386,-2520008,,-2520008,0.382685
734301,390336,HAMPDEN MEDICAL CENTER,2200 GOOD HOPE ROAD,ENOLA,PA,17025,,25420,U,STH,1,2,2022-01-24,2022-06-30,165,110,17380,277171,3618,278437,7669854,13907505,44089208,13908695,61470526,45544989,55173543,100718532,2947841,13907505,1450894,48794584,54648619,76745686,26697517,57996713,-31299196,536409,-30762787,,-30762787,0.61032
734549,490019,UVA HEALTH CULPEPER MEDICAL CENTER,501 SUNSET LANE,CULPEPER,VA,-22701,CULPEPER,47894,U,STH,1,10,2022-01-01,2022-06-30,577.67,70,12670,3156921,4178880,4273554,6599057,21766373,43027426,2886559,63946922,51532631,188515531,240048162,2474082,21766373,4863757,51532629,188515530,174096274,65951885,64793799,1158086,7961183,9119269,,9119269,0.266392
735073,101993,DAYSTAR  INC.,3800S FLAMINGO RD,DAVIE,FL,33330-1616,,,NA,RNMHC,6,3,2021-10-01,2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735178,313035,ENCOMPASS HEALTH REHABILITATION HOSP,2 CENTRE PLAZA,TINTON FALLS,NJ,7724,MONMOUTH,35154,U,RH,5,5,2022-01-01,2022-08-31,129.54,60,14580,,,-10395,-10395,7996522,7302004,632671,15224204,24251607,,24251607,2398355,7996522,591058,24251607,,5658559,18593048,15298526,3294522,21475,3315997,,3315997,0.627761
735197,450187,SCOTT & WHITE HOSPITAL BRENHAM,700 MEDICAL PARKWAY,BRENHAM,TX,-77833,WASHINGTON,99945,R,STH,1,2,2022-01-01,2022-04-20,46.78,55,6050,1012203,1304245,1279914,1288865,4302058,7874331,412252,11046057,10556158,43932702,54488860,893781,4225975,825573,10570969,43932704,42206832,12296841,12174317,122524,1975468,2097992,3,2097989,0.202721
735495,170175,CENTURA ST CATHERINE - DODGE CITY,3001 AVENUE A,DODGE CITY,KS,-67801,FORD,99917,R,STH,1,2,2022-05-01,2022-06-30,148.22,89,5429,,2421350,541678,794130,2429561,5192980,337353,6086115,9786148,17419308,27205456,570974,2429561,496440,10140547,17532941,19393892,8279596,7622541,657055,538,657593,,657593,0.223709
735699,170175,WESTERN PLAINS MEDICAL COMPLEX,3001 AVENUE A,DODGE CITY,KS,-67801,FORD,99917,R,STH,1,4,2022-03-01,2022-04-30,208.87,89,5429,157032,1155263,377785,458576,3144480,5472034,248504,5693858,11689701,18806942,30496643,428996,3144480,520573,11706757,21226736,23628492,9305001,8764970,540031,18447,558478,,558478,0.186704
735715,340075,BLUE RIDGE HEALTHCARE HOSPITALS,2201 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,U,STH,1,2,2022-01-01,2022-06-30,644.25,156,28236,3471913,10626456,5286963,5287662,45420705,79366912,3551790,89518814,160528966,371794400,532323366,5207753,44841731,7029011,172707874,380457562,434663826,118501610,124787617,-6286007,-27972013,-34258020,,-34258020,0.168166
735758,14012,MARY S HARPER GERIATRIC PSYCH CEN,201 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,-35402,TUSCALOOSA,46220,U,PH,4,10,2021-10-01,2022-09-30,204.95,126,45990,,,,,11788994,10355542,137014,26353771,24309119,4680,24313799,,,,24237554,76245,,24313799,22144536,2169263,44960,2214223,,2214223,
735865,60044,CENTURA ST. ELIZABETH HOSPITAL,1000 LINCOLN STREET,FORT MORGAN,CO,80701,MORGAN,99906,R,STH,1,2,2022-05-01,2022-06-30,155.56,36,2196,,677172,163637,903886,2794229,3907667,411923,4790315,6540498,13283046,19823544,463173,2794229,136265,12094533,8830069,14650068,6274534,6701896,-427362,20384,-406978,,-406978,0.241648
736324,452111,ATRIUM MEDICAL CENTER,2813 S. MAYHILL ROAD,DENTON,TX,76208,DENTON,19124,U,LTCH,2,5,2021-12-01,2022-11-30,108.03,18,6570,,,,,9222665,42629290,86212,51699234,18751527,153418429,172169956,,,,,,,,51851955,-51851955,,-51851955,,-51851955,
736428,50849,COMMUNITY HOSPITAL LONG BEACH,1720 TERMINO AVE,LONG BEACH,CA,90804-2104,,,NA,STH,5,5,2022-01-01,2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736471,304001,HAMPSTEAD HOSPITAL AND RESIDENTIAL T,218 EAST RD,HAMPSTEAD,NH,03841-2305,,,NA,PH,4,4,2022-01-01,2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736894,241373,PERHAM MEMORIAL HOSPITAL AND HOME,1000 CONEY STREET WEST,PERHAM,MN,56573,OTTER TAIL,99924,R,CAH,1,11,2021-10-01,2022-09-30,309.26,25,9125,211390,1812745,1002914,2673684,32041682,34353434,4162617,49501668,27110370,85252812,112363182,,,,29417127,101486856,65157574,65746409,68261048,-2514639,-795300,-3309939,,-3309939,0.440551
736910,360009,LIMA MEMORIAL HOSPITAL,1001 BELLEFONTAINE AVENUE,LIMA,OH,-45804,ALLEN,30620,R,STH,1,2,2022-01-01,2022-12-31,1223.75,110,40035,2473388,18608332,7276392,25271745,85575003,151668678,18754156,216055703,313657778,541520222,855178000,23695995,85623503,8629480,313659188,542345671,602499879,253504980,237243681,16261299,-884979,15376320,,15376320,0.252644
736988,514011,HIGHLAND-CLARKSBURG HOSPITAL,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,,NA,PH,4,2,2021-10-01,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737113,250018,JASPER GENERAL HOSPITAL,15 SOUTH 6TH STREET,BAY SPRINGS,MS,39422,JASPER,99925,R,STH,1,9,2021-10-01,2022-09-30,84.69,20,7300,,1,1,81798,9335319,7770809,113585,15839147,11070978,8459774,19530752,591329,9335319,,11486730,8466774,4922850,15030654,17106128,-2075474,-15739,-2091213,,-2091213,0.810985
737170,330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,35004,U,STH,1,2,2022-01-01,2022-08-31,1283.8,165,40095,6811632,3444531,7367350,9327315,71532727,107928846,7073525,166278816,532241634,501338671,1033580305,27701636,71532727,8199112,532241634,501338671,882561080,151019225,179461573,-28442348,6328907,-22113441,,-22113441,0.160877
737190,423033,TIDELANDS HEALTH REHABILITATION HOSP,4070 HIGHWAY 17 BYPASS SOUTH  4TH,MURRELLS INLET,SC,29576,GEORGETOWN,99942,R,RH,5,5,2021-10-01,2022-09-30,174.83,75,27375,,,,,13194464,14008786,2046018,26265331,51206168,,51206168,2364537,13194464,77756,51206167,,15628476,35577691,27203250,8374441,45615,8420056,,8420056,
737350,14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693-3313,,,NA,PH,4,9,2021-10-01,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737398,14017,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,BALDWIN,19300,U,PH,4,9,2021-10-01,2022-09-30,99,66,24090,,,,,69552750,52439461,5014656,11085964,2389751,,2389751,2490860,69552750,,14774407,49466613,7595754,56645266,121992211,-65346945,66082083,735138,,735138,
737430,301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,-3458,HILLSBOROUGH,31700,R,CAH,1,2,2021-10-01,2022-09-30,452.9,25,9125,2636287,3436796,4439548,4439548,35728532,58179568,3888772,76661934,14852446,128605184,143457630,,,,16059432,148291186,78544959,85805659,93908100,-8102441,11000373,2897932,12799133,-9901201,0.534387
737473,360147,MARIETTA MEMORIAL HOSPITAL,401 MATTHEW STREET,MARIETTA,OH,-43750,WASHINGTON,99936,R,STH,1,2,2021-10-01,2022-09-30,2448,188,68620,8071007,30059061,17037122,48520089,236392918,306753251,41537520,425366674,341069224,1106927396,1447996620,55634785,235764722,27909721,339265102,1240610463,1104072196,475803369,534603046,-58799677,50853913,-7945764,,-7945764,0.293762
737578,491302,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,GILES,13980,U,CAH,1,2,2021-10-01,2022-09-30,189.4,25,9125,701964,3032154,1963804,2703381,39527501,45703423,2043205,75162313,31804372,142906034,174710406,,,,31803927,150959040,110223898,72539069,85230924,-12691855,12058261,-633594,361593,-995187,0.430211
737579,491304,CARILION STONEWALL JACKSON HOSPITAL,1 HEALTH CIRCLE,LEXINGTON,VA,24450,ROCKBRIDGE,99949,R,CAH,1,2,2021-10-01,2022-09-30,218.12,25,9125,745843,4183312,1937016,1945776,21686634,38962227,2358837,51708414,31393911,160080931,191474842,,,,31393912,167523083,138766087,60150908,60648861,-497953,1356840,858887,175682,683205,0.270053
737637,450108,CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,WILSON,41700,U,STH,1,13,2021-10-01,2022-09-30,218.85,44,16060,1348379,4726879,2514013,2514013,17882839,26631783,2437158,31233335,18247764,108452559,126700323,1533324,17882839,2477451,18984992,122702994,99217509,42470477,44514622,-2044145,7645141,5600996,78004,5522992,0.246513
737640,450369,CHILDRESS REGIONAL MEDICAL CENTER,HIGHWAY 83 NORTH,CHILDRESS,TX,79201,CHILDRESS,99945,R,STH,1,11,2021-10-01,2022-09-30,169,37,13505,2091159,2509810,3149752,3559900,18868354,16988229,1278759,33194228,13171018,64820001,77991019,1662706,18868354,1133909,13648575,68747803,44618640,37777738,35856583,1921155,6661031,8582186,,8582186,0.425616
737650,13301,USA CHILDRENS AND WOMENS HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,33660,U,CH,7,10,2021-10-01,2022-09-30,1195.06,249,90885,,,,,76992165,161891583,11888650,213318239,237417628,296561665,533979293,,,,243145626,305901223,320202150,228844699,229527281,-682582,5714524,5031942,9847064,-4815122,
737677,250104,JEFF ANDERSON REGIONAL MEDICAL CENTE,2124 14TH STREET,MERIDIAN,MS,39301,LAUDERDALE,99925,R,STH,1,2,2021-10-01,2022-09-30,1178.58,270,98550,7103622,10083764,9953345,9953345,81979406,186448228,1898395,182066241,253004130,401591962,654596092,13947251,81979406,23534785,273727739,488147937,548604423,213271253,268427634,-55156381,41938729,-13217652,,-13217652,0.278135
737691,341315,BLADEN COUNTY HOSPITAL,HIGHWAY 701,ELIZABETHTOWN,NC,28337,BLADEN,99934,R,CAH,1,9,2021-10-01,2022-09-30,166.17,25,9125,2319821,1997133,3035734,3151185,18426526,18545895,1576517,36523992,33252831,68239500,101492331,,,,37572730,74573110,74391985,37753855,36972421,781434,3853418,4634852,,4634852,0.359869
737700,421303,WILLIAMSBURG REGIONAL HOSPITAL,500 NELSON BLVD,KINGSTREE,SC,29556,WILLIAMSBURG,99942,R,CAH,1,2,2021-10-01,2022-09-30,181.03,25,9125,,1413726,581604,581604,12694260,12879139,639761,21064394,14309275,35880289,50189564,,,,14547139,43067504,35128881,22485762,25573399,-3087637,1898532,-1189105,,-1189105,0.419697
737720,11300,WASHINGTON COUNTY HOSPITAL,ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,33660,R,CAH,1,9,2021-10-01,2022-09-30,82.45,15,5475,49487,945864,676652,676652,6426237,9805101,291498,15475780,9302171,11798453,21100624,,,,9326000,11774000,4886000,16214000,17277338,-1063338,2481000,1417662,662,1417000,0.733428
737743,111303,JASPER MEMORIAL HOSPITAL,898 COLLEGE STREET,MONTICELLO,GA,31064,JASPER,12060,U,CAH,1,9,2021-10-01,2022-09-30,74.34,12,4380,135561,770054,735550,1059622,7588637,6814335,336115,11701390,4648297,10194629,14842926,,,,4678802,10702624,4923911,10457515,14402972,-3945457,2535894,-1409563,,-1409563,0.788348
737744,111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,-31024,PUTNAM,99911,R,CAH,1,9,2021-10-01,2022-09-30,119.14,25,9125,333301,1767548,1275938,1557841,6048775,15578433,494055,15978840,5428664,23727931,29156595,,,,5811769,48487932,36932292,17367409,21627208,-4259799,5292905,1033106,,1033106,0.548035
737774,170075,MERCY HOSPITAL  INC.,218 E. PACK,MOUNDRIDGE,KS,67107,MCPHERSON,99917,R,STH,1,1,2021-10-01,2022-09-30,37.5,15,5671,83566,94245,177561,377533,2413291,2810272,269216,5164714,2159066,2626748,4785814,331778,2413291,802923,2151465,2950511,2129824,2972152,5223563,-2251411,1412613,-838798,-1000,-837798,1.079171
737796,250036,GEORGE COUNTY HOSPITAL,305 WINTER STREET,LUCEDALE,MS,39452-0607,GEORGE,99925,R,STH,1,9,2021-10-01,2022-09-30,251.54,39,14235,2332323,72861,2358990,2372364,24747708,19559421,1839525,28460084,15427520,55675678,71103198,1373116,24747708,,17203759,64839388,39990632,42052515,44307129,-2254614,9577439,7322825,,7322825,0.400264
737820,371301,PRAGUE COMMUNITY HOSPITAL,1322 KLAZUBA AVENUE,PRAGUE,OK,74864,POTTAWATOMIE,99937,R,CAH,1,2,2021-10-01,2022-09-30,46.08,25,9125,,491343,303057,1741310,5226871,12482548,55156,16923104,16062447,7490561,23553008,,,,16121841,8182351,10244890,14059302,17709419,-3650117,845950,-2804167,,-2804167,0.718511
737878,170086,STORMONT-VAIL REGIONAL HEALTH CENTER,1500 SW 10TH AVE,TOPEKA,KS,66604-1353,SHAWNEE,45820,R,STH,1,2,2021-10-01,2022-09-30,4645.47,438,159870,27006551,28130010,32630850,41892005,452442916,385422603,24896469,444982745,1041825740,1314338266,2356164006,60359893,452442916,,1043592416,1685616374,1904228780,824980010,841326780,-16346770,-5286001,-21632771,,-21632771,0.188859
737883,180027,MURRAY CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,MURRAY,KY,42071,CALLOWAY,99918,R,STH,1,8,2021-10-01,2022-09-30,668.97,99,36135,660510,6265155,2075560,2075560,59644548,94333648,8218973,102080672,142579963,325522709,468102672,15706994,59644548,5783722,143497248,374238101,363573741,154161608,153978196,183412,24913,208325,,208325,0.218073
